Model,MAE,RMSE,R2
Final_Stacked_Ensemble,4.728727784511756,5.955617327060293,0.9524212566829151
Ridge,11.708326474105824,14.537109453066584,0.7165245077410856
Lasso,11.712765864786935,14.539090142235036,0.7164472550947303
GradientBoosting,11.918440203033134,14.75143076956073,0.7081043060926078
RandomForest,12.371878599999997,15.179016026230949,0.6909372700281458
AdaBoost,12.351793606447877,15.530463425157185,0.6764598162929872
KNN,17.561239285714286,21.744208501158113,0.3657702569565745
SVR,17.837164405396997,21.86710723460401,0.35858063600960666
